Year,Age,E_F,E_M,E_Tot,D_F,D_M,D_Tot,m_F,m_M,m_Tot
1816,0,408224.19,426130.37,834354.56,76332.26,94997.54,171329.8,0.1869861264223465,0.22293069606843557,0.20534411653482182
1816,1,382452.05,399821.03,782273.08,17861.24,18659.46,36520.7,0.04670190681420064,0.046669531114959105,0.046685359542220216
1816,2,351453.99,363400.89,714854.88,11924.14,12466.99,24391.13,0.0339280256855243,0.03430643771951136,0.034120393778384786
1816,3,337733.13,349089.95,686823.09,7738.2,8083.03,15821.23,0.022912173289010764,0.0231545766356207,0.02303537873195265
1816,4,331575.95,342626.58,674202.54,5303.44,5507.6,10811.04,0.01599464617382533,0.01607464312897149,0.01603530001533367
1816,5,313553.99,326521.46,640075.45,4337.85,4452.23,8790.08,0.01383445957743992,0.013635336556439503,0.013732881022073259
1816,6,306853.25,323499.68,630352.92,3713.46,3763.08,7476.54,0.012101745704176181,0.011632407178888091,0.0118608794578123
1816,7,301860.39,318097.36,619957.76,3148.26,3151.67,6299.93,0.010429523396560907,0.009907878518702576,0.010161869737706001
1816,8,296638.63,312456.81,609095.44,2642.28,2618.03,5260.31,0.00890740359743436,0.00837885402465704,0.008636265607242111
1816,9,289057.31,304312.66,593369.97,2195.49,2162.13,4357.62,0.007595345019989288,0.007104962376524198,0.0073438499086834474
1816,10,289241.71,297433.94,586675.65,1818.15,1788.04,3606.19,0.006285919136627978,0.006011553355343375,0.006146820649536077
1816,11,288732.04,290416.93,579148.96,1551.24,1511.93,3063.17,0.0053725939109494055,0.005206067015445691,0.005289088320213854
1816,12,286347.73,287943.64,574291.37,1404.98,1337.84,2742.82,0.00490655190456722,0.0046461870107636334,0.004776007691008834
1816,13,284360.18,285914.92,570275.1,1379.41,1265.77,2645.18,0.004850925329981153,0.004427086211520546,0.004638428014830036
1816,14,283227.93,284839.87,568067.8,1474.51,1295.73,2770.24,0.005206089667780999,0.004548976939218516,0.004876600997275325
1816,15,288579.87,285400.31,573980.18,1663.19,1417.0,3080.19,0.005763361110392073,0.004964956064693833,0.005366369967687734
1816,16,291359.33,282969.97,574329.3,1837.18,1586.74,3423.92,0.006305547174343104,0.005607450147448509,0.005961597292702984
1816,17,286102.94,278130.4,564233.35,1969.39,1794.24,3763.63,0.006883501441823702,0.006451074747672314,0.006670343041580226
1816,18,278641.73,271143.1,549784.84,2059.84,2039.5,4099.34,0.007392431851467475,0.0075218583840046096,0.007456262344374575
1816,19,269791.67,262667.82,532459.49,2108.51,2322.51,4431.02,0.007815326544366624,0.008842004323178988,0.008321797400962842
1816,20,277696.67,254225.06,531921.74,2121.74,2616.84,4738.58,0.007640494932834448,0.010293399085046928,0.008908415737999354
1816,21,282093.29,243420.98,525514.27,2124.77,2816.75,4941.52,0.007532153636125128,0.01157151696620398,0.009403208023256913
1816,22,268549.77,231410.73,499960.5,2123.92,2895.81,5019.73,0.00790885056427343,0.012513723974683455,0.01004025318000122
1816,23,256876.31,220946.7,477823.01,2119.2,2854.0,4973.2,0.008249884934893374,0.01291714246014989,0.010408037905081213
1816,24,246824.97,211889.72,458714.69,2110.59,2691.34,4801.93,0.008550958195193947,0.012701607232290458,0.010468228083125048
1816,25,241060.96,201570.3,442631.26,2099.81,2437.77,4537.58,0.00871070122677683,0.012093894785094829,0.010251377184702228
1816,26,240881.71,197019.56,437901.28,2093.59,2213.1,4306.69,0.008691361415526318,0.011232894845567618,0.009834842227453637
1816,27,239737.47,195955.67,435693.14,2093.63,2047.26,4140.89,0.008733011155911507,0.010447567044117681,0.009504143214189693
1816,28,240189.33,196264.55,436453.88,2099.94,1940.26,4040.2,0.00874285298185394,0.009885942214220551,0.009256877267307144
1816,29,243038.35,198587.88,441626.22,2112.51,1892.1,4004.61,0.008692085014566631,0.009527771785468478,0.009067871921191637
1816,30,232950.98,200163.71,433114.69,2130.82,1892.94,4023.76,0.009147074633470097,0.009456959006205471,0.009290287521764732
1816,31,223302.23,202008.48,425310.71,2152.75,1903.36,4056.11,0.009640521726988574,0.009422178712497613,0.009536816037385938
1816,32,221673.75,200555.21,422228.96,2177.79,1913.51,4091.3,0.009824302606871584,0.009541063530585918,0.009689766424358955
1816,33,219527.0,198635.88,418162.88,2205.93,1923.39,4129.32,0.010048558947191005,0.00968299382770122,0.009874908074097825
1816,34,217022.19,196409.99,413432.18,2237.18,1933.01,4170.19,0.010308531123015576,0.009841709171717793,0.01008675715567182
1816,35,214880.04,195251.45,410131.49,2270.58,1941.83,4212.41,0.01056673295481516,0.009945278255295927,0.010270876786369171
1816,36,210445.06,191875.67,402320.73,2302.3,1947.75,4250.05,0.010940147514035256,0.010151104618944131,0.010563835475243845
1816,37,206078.74,187939.71,394018.45,2331.41,1950.25,4281.66,0.01131319999336176,0.01037699802771857,0.01086664850338861
1816,38,200596.28,182969.93,383566.21,2357.89,1949.33,4307.22,0.01175440541569365,0.010653827107000588,0.011229404175096654
1816,39,193966.43,176946.99,370913.42,2381.74,1944.98,4326.72,0.012279135106007776,0.010991879545393794,0.011665040321269585
1816,40,194697.48,170573.29,365270.77,2402.79,1941.41,4344.2,0.012341145863829362,0.011381676462944463,0.011893095086694179
1816,41,195270.28,164250.83,359521.1,2420.29,1955.42,4375.71,0.012394564088298537,0.01190508443701624,0.012170940731990418
1816,42,188913.54,158860.01,347773.55,2434.06,1991.21,4425.27,0.012884518494545175,0.01253436909641388,0.012724573217255886
1816,43,183994.07,154683.39,338677.46,2444.1,2048.77,4492.87,0.013283580280603608,0.01324492565103467,0.01326592563910217
1816,44,179887.0,151222.58,331109.58,2450.42,2128.12,4578.54,0.013621996030841584,0.014072766117335123,0.01382786931142252
1816,45,174415.12,148064.45,322479.57,2457.12,2226.21,4683.33,0.014087769454850015,0.015035411943920366,0.014522873495520972
1816,46,171287.05,146637.61,317924.66,2480.68,2330.9,4811.58,0.014482589314253471,0.01589564914485445,0.015134340318237662
1816,47,171184.31,146659.64,317843.95,2525.22,2439.17,4964.39,0.014751468753181876,0.016631501345564462,0.015618953892310992
1816,48,170670.82,146349.67,317020.5,2590.72,2550.99,5141.71,0.0151796305894587,0.01743078751048772,0.01621885650927937
1816,49,169993.71,145900.66,315894.37,2677.2,2666.38,5343.58,0.01574881800038366,0.01827531143450619,0.01691571774451061
1816,50,163897.35,145542.27,309439.62,2778.0,2781.68,5559.68,0.01694963341384104,0.019112523117854354,0.017966930026607455
