Year,Age,E_F,E_H,E_Tot,D_F,D_H,D_Tot,m_F,m_H,m_Tot
2000,0,362246.66,380982.78,743229.43,1425,1992,3417,0.0039337836820910925,0.005228582772166238,0.004597503626841041
2000,1,354288.33,371892.85,726181.18,149,158,307,0.00042056141109700113,0.00042485355660911475,0.00042275951023682543
2000,2,350344.21,368268.07,718612.28,69,96,165,0.0001969491660786973,0.00026067967282637343,0.00022960921291242058
2000,3,351312.27,370227.17,721539.45,57,82,139,0.00016224881641623275,0.00022148563542756736,0.0001926436593314475
2000,4,353345.34,371065.57,724410.91,46,65,111,0.00013018425543690485,0.0001751711968318699,0.0001532279517987933
2000,5,346926.36,363644.49,710570.85,35,56,91,0.00010088596323438785,0.00015399655856190755,0.00012806604717882812
2000,6,342342.27,358783.21,701125.49,40,49,89,0.00011684212995374482,0.00013657272312157527,0.000126938759564996
2000,7,350183.83,367483.38,717667.21,35,57,92,9.994750471488075e-05,0.00015510905554422624,0.00012819312171166356
2000,8,363896.17,382376.36,746272.53,37,50,87,0.0001016773548344848,0.00013076122174498445,0.00011657939492962443
2000,9,368869.27,387915.24,756784.51,48,55,103,0.00013012740258899852,0.0001417835504477731,0.00013610215145656192
2000,10,373278.1,391830.08,765108.18,31,44,75,8.304800094085348e-05,0.00011229357378586145,9.802535374801508e-05
2000,11,376659.43,394824.73,771484.17,47,57,104,0.00012478115840614955,0.0001443678565929748,0.00013480509911175493
2000,12,377280.24,395766.36,773046.6,52,74,126,0.00013782858068580534,0.00018697900448133085,0.0001629914677847364
2000,13,380850.19,398934.43,779784.62,57,73,130,0.0001496651478629957,0.0001829874648823868,0.0001667127007454956
2000,14,381492.82,398999.24,780492.06,55,126,181,0.00014417047219918844,0.00031579007518911566,0.00023190498568300617
2000,15,378176.68,394205.45,772382.13,82,144,226,0.00021682986904427847,0.0003652917533230451,0.000292601280146137
2000,16,369479.82,384134.82,753614.64,91,179,270,0.0002462922061616247,0.0004659822298848097,0.00035827329469077194
2000,17,379765.86,395211.03,774976.89,106,229,335,0.00027911935001213644,0.0005794372692482798,0.0004322709545571094
2000,18,395580.75,411417.63,806998.38,143,363,506,0.000361493829009627,0.0008823151307346747,0.0006270148894227024
2000,19,399143.46,412163.96,811307.41,137,427,564,0.00034323498623778023,0.0010359954810216787,0.0006951742250203286
2000,20,386948.07,395980.08,782928.15,136,399,535,0.0003514683507789559,0.0010076264442393163,0.0006833321806094211
2000,21,369011.83,374840.45,743852.29,122,396,518,0.0003306127069151143,0.0010564494840404764,0.0006963748138760183
2000,22,368751.81,373275.2,742027.0,111,397,508,0.00030101547162575285,0.0010635584683900778,0.0006846112068698308
2000,23,363226.94,366104.95,729331.89,131,378,509,0.0003606560680768888,0.001032490819913798,0.0006978990045259094
2000,24,359071.92,359927.48,718999.41,129,388,517,0.0003592595043355103,0.001077994933868345,0.000719054832047776
2000,25,383089.24,382959.78,766049.02,143,400,543,0.0003732811707266954,0.0010444961087036346,0.000708831923053697
2000,26,403096.33,402623.65,805719.99,141,435,576,0.0003497923188732579,0.0010804134332397016,0.0007148885557624057
2000,27,426544.47,425887.84,852432.31,158,464,622,0.00037041858730462503,0.0010894887254822771,0.0007296767059427862
2000,28,430523.66,429169.3,859692.96,138,494,632,0.00032053987462617037,0.0011510608983447792,0.0007351461852147772
2000,29,429817.91,428485.89,858303.81,129,521,650,0.0003001270933544859,0.0012159093500138359,0.000757307601838561
2000,30,420367.58,418429.38,838796.96,205,456,661,0.0004876684353251028,0.0010897896318848356,0.0007880333758005036
2000,31,421636.71,418210.28,839846.99,219,525,744,0.0005194044892343459,0.0012553493424408409,0.0008858756521827863
2000,32,422263.72,418303.78,840567.5,239,545,784,0.0005659970030103463,0.001302880887186819,0.000932703203490499
2000,33,428713.68,424722.42,853436.1,251,584,835,0.000585472336688673,0.0013750157102608335,0.0009783977968590735
2000,34,438004.01,433867.57,871871.57,289,599,888,0.0006598113108599165,0.001380605607374619,0.001018498630480634
2000,35,444348.4,438477.7,882826.1,318,707,1025,0.0007156546529705069,0.0016123967079739745,0.001161044060659285
2000,36,447179.12,439349.45,886528.57,380,746,1126,0.0008497713399498617,0.0016979650253346168,0.0012701226312424427
2000,37,439509.08,430877.53,870386.61,378,778,1156,0.0008600504908795058,0.0018056174802153176,0.0013281454318328726
2000,38,432912.25,424177.32,857089.57,380,784,1164,0.0008777760389085779,0.0018482836376070271,0.0013580844298455295
2000,39,436670.54,427445.14,864115.68,466,928,1394,0.0010671661065113302,0.0021710388378728554,0.0016132099350401787
2000,40,434890.33,424725.28,859615.61,481,1021,1502,0.0011060259721111757,0.002403906826549152,0.0017472926067501264
2000,41,435246.75,423621.25,858868.01,581,1097,1678,0.0013348749875788848,0.0025895773642139056,0.0019537344277149172
2000,42,428709.86,416953.96,845663.82,582,1284,1866,0.001357561498585547,0.0030794766885053684,0.002206550588861659
2000,43,429023.46,417415.04,846438.51,591,1403,1994,0.0013775470460286716,0.0033611630285291113,0.002355752930003149
2000,44,427168.99,414425.62,841594.61,693,1569,2262,0.0016223087729284843,0.0037859628466020033,0.0026877548562246616
2000,45,427776.01,415726.63,843502.64,741,1668,2409,0.0017322149505298345,0.004012251993575682,0.002855948382093979
2000,46,423499.08,413521.97,837021.06,833,1806,2639,0.0019669464217017896,0.004367361666418837,0.0031528477909504448
2000,47,423733.71,414627.02,838360.74,903,1954,2857,0.0021310553743765157,0.004712669232217428,0.003407840877663236
